Interface,Port,Role,Direction,Atom Port Name
emac0,emac0_phy_txd_o,phy_txd_o,Output, phy_txd_o
emac0,emac0_phy_mac_speed_o,phy_mac_speed_o,Output, phy_mac_speed_o
emac0,emac0_phy_txen_o,phy_txen_o,Output, phy_txen_o
emac0,emac0_phy_txer_o,phy_txer_o,Output, phy_txer_o
emac0,emac0_phy_rxdv_i,phy_rxdv_i,Input, phy_rxdv_i
emac0,emac0_phy_rxer_i,phy_rxer_i,Input, phy_rxer_i
emac0,emac0_phy_rxd_i,phy_rxd_i,Input, phy_rxd_i
emac0,emac0_phy_col_i,phy_col_i,Input, phy_col_i
emac0,emac0_phy_crs_i,phy_crs_i,Input, phy_crs_i
emac0_md_clk,emac0_gmii_mdc_o,clk,Output, gmii_mdc_o
emac0,emac0_gmii_mdo_o,gmii_mdo_o,Output, gmii_mdo_o
emac0,emac0_gmii_mdo_o_e,gmii_mdo_o_e,Output, gmii_mdo_o_e
emac0,emac0_gmii_mdi_i,gmii_mdi_i,Input, gmii_mdi_i
emac0,emac0_ptp_pps_o,ptp_pps_o,Output, ptp_pps_o
emac0,emac0_ptp_aux_ts_trig_i,ptp_aux_ts_trig_i,Input, ptp_aux_ts_trig_i
emac0,emac0_ptp_tstmp_data,ptp_tstmp_data,Output, ptp_tstmp_data
emac0,emac0_ptp_tstmp_en,ptp_tstmp_en,Output, ptp_tstmp_en
emac0_rx_clk_in,emac0_clk_rx_i,clk,Input, clk_rx_i
emac0_tx_clk_in,emac0_clk_tx_i,clk,Input, clk_tx_i
emac0_gtx_clk,emac0_phy_txclk_o,clk,Output, s2f_clk
emac0_tx_reset,emac0_rst_clk_tx_n_o,reset_n,Output, rst_clk_tx_n_o
emac0_rx_reset,emac0_rst_clk_rx_n_o,reset_n,Output, rst_clk_rx_n_o
emac1,emac1_phy_mac_speed_o,phy_mac_speed_o,Output, phy_mac_speed_o
emac1,emac1_phy_txd_o,phy_txd_o,Output, phy_txd_o
emac1,emac1_phy_txen_o,phy_txen_o,Output, phy_txen_o
