#Peripheral,Internal Signal,FPGA Signal
EMAC0,txd0,emac0_phy_txd_o[0]
EMAC0,txd1,emac0_phy_txd_o[1]
EMAC0,txd2,emac0_phy_txd_o[2]
EMAC0,txd3,emac0_phy_txd_o[3]
EMAC0,txd4,emac0_phy_txd_o[4]
EMAC0,txd5,emac0_phy_txd_o[5]
EMAC0,txd6,emac0_phy_txd_o[6]
EMAC0,txd7,emac0_phy_txd_o[7]
EMAC0,txen,emac0_phy_txen_o
EMAC0,txer,emac0_phy_txer_o
EMAC0,rxdv,emac0_phy_rxdv_i
EMAC0,rxer,emac0_phy_rxer_i
EMAC0,rxd0,emac0_phy_rxd_i[0]
EMAC0,rxd1,emac0_phy_rxd_i[1]
EMAC0,rxd2,emac0_phy_rxd_i[2]
EMAC0,rxd3,emac0_phy_rxd_i[3]
EMAC0,rxd4,emac0_phy_rxd_i[4]
EMAC0,rxd5,emac0_phy_rxd_i[5]
EMAC0,rxd6,emac0_phy_rxd_i[6]
EMAC0,rxd7,emac0_phy_rxd_i[7]
EMAC0,col,emac0_phy_col_i
EMAC0,crs,emac0_phy_crs_i
EMAC0,mdc,emac0_gmii_mdc_o
EMAC0,mdo,emac0_gmii_mdo_o
EMAC0,mdo_en,emac0_gmii_mdo_o_e
EMAC0,mdi,emac0_gmii_mdi_i
EMAC0,ptp_pps,emac0_ptp_pps_o
EMAC0,ptp_tstmp_data,emac0_ptp_tstmp_data
EMAC0,ptp_tstmp_en,emac0_ptp_tstmp_en
EMAC0,ts_trig,emac0_ptp_aux_ts_trig_i
EMAC0,rx_clk,emac0_clk_rx_i
EMAC0,tx_clk_i,emac0_clk_tx_i
EMAC0,tx_clk_o,emac0_phy_txclk_o
EMAC0,rst_clk_tx_n_o,emac0_rst_clk_tx_n_o
EMAC0,rst_clk_rx_n_o,emac0_rst_clk_rx_n_o
EMAC0,mac_speed0,emac0_phy_mac_speed_o[0]
EMAC0,mac_speed1,emac0_phy_mac_speed_o[1]
EMAC1,txd0,emac1_phy_txd_o[0]
EMAC1,txd1,emac1_phy_txd_o[1]
EMAC1,txd2,emac1_phy_txd_o[2]
EMAC1,txd3,emac1_phy_txd_o[3]
EMAC1,txd4,emac1_phy_txd_o[4]
EMAC1,txd5,emac1_phy_txd_o[5]
EMAC1,txd6,emac1_phy_txd_o[6]
EMAC1,txd7,emac1_phy_txd_o[7]
EMAC1,txen,emac1_phy_txen_o
EMAC1,txer,emac1_phy_txer_o
EMAC1,rxdv,emac1_phy_rxdv_i
EMAC1,rxer,emac1_phy_rxer_i
EMAC1,rxd0,emac1_phy_rxd_i[0]
EMAC1,rxd1,emac1_phy_rxd_i[1]
EMAC1,rxd2,emac1_phy_rxd_i[2]
EMAC1,rxd3,emac1_phy_rxd_i[3]
EMAC1,rxd4,emac1_phy_rxd_i[4]
EMAC1,rxd5,emac1_phy_rxd_i[5]
EMAC1,rxd6,emac1_phy_rxd_i[6]
EMAC1,rxd7,emac1_phy_rxd_i[7]
EMAC1,col,emac1_phy_col_i
EMAC1,crs,emac1_phy_crs_i
EMAC1,mdc,emac1_gmii_mdc_o
EMAC1,mdo,emac1_gmii_mdo_o
EMAC1,mdo_en,emac1_gmii_mdo_o_e
EMAC1,mdi,emac1_gmii_mdi_i
EMAC1,ptp_pps,emac1_ptp_pps_o
EMAC1,ptp_tstmp_data,emac1_ptp_tstmp_data
EMAC1,ptp_tstmp_en,emac1_ptp_tstmp_en
EMAC1,ts_trig,emac1_ptp_aux_ts_trig_i
EMAC1,rx_clk,emac1_clk_rx_i
EMAC1,tx_clk_i,emac1_clk_tx_i
EMAC1,tx_clk_o,emac1_phy_txclk_o
EMAC1,rst_clk_tx_n_o,emac1_rst_clk_tx_n_o
EMAC1,rst_clk_rx_n_o,emac1_rst_clk_rx_n_o
EMAC1,mac_speed0,emac1_phy_mac_speed_o[0]
EMAC1,mac_speed1,emac1_phy_mac_speed_o[1]
EMAC2,txd0,emac2_phy_txd_o[0]
EMAC2,txd1,emac2_phy_txd_o[1]
EMAC2,txd2,emac2_phy_txd_o[2]
EMAC2,txd3,emac2_phy_txd_o[3]
EMAC2,txd4,emac2_phy_txd_o[4]
EMAC2,txd5,emac2_phy_txd_o[5]
EMAC2,txd6,emac2_phy_txd_o[6]
EMAC2,txd7,emac2_phy_txd_o[7]
EMAC2,txen,emac2_phy_txen_o
EMAC2,txer,emac2_phy_txer_o
EMAC2,rxdv,emac2_phy_rxdv_i
EMAC2,rxer,emac2_phy_rxer_i
EMAC2,rxd0,emac2_phy_rxd_i[0]
EMAC2,rxd1,emac2_phy_rxd_i[1]
EMAC2,rxd2,emac2_phy_rxd_i[2]
EMAC2,rxd3,emac2_phy_rxd_i[3]
EMAC2,rxd4,emac2_phy_rxd_i[4]
EMAC2,rxd5,emac2_phy_rxd_i[5]
EMAC2,rxd6,emac2_phy_rxd_i[6]
EMAC2,rxd7,emac2_phy_rxd_i[7]
EMAC2,col,emac2_phy_col_i
EMAC2,crs,emac2_phy_crs_i
EMAC2,mdc,emac2_gmii_mdc_o
EMAC2,mdo,emac2_gmii_mdo_o
EMAC2,mdo_en,emac2_gmii_mdo_o_e
EMAC2,mdi,emac2_gmii_mdi_i
EMAC2,ptp_pps,emac2_ptp_pps_o
EMAC2,ptp_tstmp_data,emac2_ptp_tstmp_data
EMAC2,ptp_tstmp_en,emac2_ptp_tstmp_en
EMAC2,ts_trig,emac2_ptp_aux_ts_trig_i
EMAC2,rx_clk,emac2_clk_rx_i
EMAC2,tx_clk_i,emac2_clk_tx_i
EMAC2,tx_clk_o,emac2_phy_txclk_o
EMAC2,rst_clk_tx_n_o,emac2_rst_clk_tx_n_o
EMAC2,rst_clk_rx_n_o,emac2_rst_clk_rx_n_o
