#Peripheral,Pin,Input Signal,i_idx,Output Signal,o_idx,Output Enable Signal,oe_idx,Pattern of signals to pin,extra mark
CM,PLL_CLK0,,,PLL_CLK,0,,,0,.
CM,PLL_CLK1,,,PLL_CLK,1,,,1,.
CM,PLL_CLK2,,,PLL_CLK,2,,,2,.
CM,PLL_CLK3,,,PLL_CLK,3,,,3,.
CM,PLL_CLK4,,,PLL_CLK,4,,,4,.
EMAC,TX_CLK,,,EMAC_CLK_TX,,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,TXD0,,,EMAC_PHY_TXD,0,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,TXD1,,,EMAC_PHY_TXD,1,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,TXD2,,,EMAC_PHY_TXD,2,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO  ,.
EMAC,TXD3,,,EMAC_PHY_TXD,3,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO  ,.
EMAC,RX_CTL,EMAC_PHY_RXDV,,,,, ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,TX_CTL,,,EMAC_PHY_TX_OE,,,,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,RX_CLK,EMAC_CLK_RX,,,,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,RXD0,EMAC_PHY_RXD,0,,,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,RXD1,EMAC_PHY_RXD,1,,,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO RMII RMII_with_I2C RMII_with_MDIO ,.
EMAC,RXD2,EMAC_PHY_RXD,2,,,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO ,.
EMAC,RXD3,EMAC_PHY_RXD,3,,,,   ,RGMII RGMII_with_I2C RGMII_with_MDIO ,.
EMAC,MDIO,EMAC_GMII_MDO_I,,EMAC_GMII_MDO_O,,EMAC_GMII_MDO_OE,,RMII_with_MDIO RGMII_with_MDIO,.
EMAC,MDC,,,EMAC_GMII_MDC,,,    ,RMII_with_MDIO RGMII_with_MDIO,.
I2C,SDA,I2C_DATA,,,, I2C_DATA_OE,,default,.
I2C,SCL,I2C_CLK,,,, I2C_CLK_OE,,default,.
NAND,ALE,,,NAND_ALE,,,,8-bit 16-bit,.
NAND,CE_N,,,NAND_CE_N,,,,8-bit 16-bit,.
NAND,CLE,,,NAND_CLE,,,,8-bit 16-bit,.
NAND,RE_N,,,NAND_RE_N,,,,8-bit 16-bit,.
NAND,RB,NAND_RDY_BUSYN,,,,,,8-bit 16-bit,.
NAND,ADQ0,NAND_ADQ_I,0,NAND_ADQ_O,0,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ1,NAND_ADQ_I,1,NAND_ADQ_O,1,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ2,NAND_ADQ_I,2,NAND_ADQ_O,2,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ3,NAND_ADQ_I,3,NAND_ADQ_O,3,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ4,NAND_ADQ_I,4,NAND_ADQ_O,4,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ5,NAND_ADQ_I,5,NAND_ADQ_O,5,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ6,NAND_ADQ_I,6,NAND_ADQ_O,6,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ7,NAND_ADQ_I,7,NAND_ADQ_O,7,NAND_ADQ_OE,0,8-bit 16-bit,.
NAND,ADQ8,NAND_ADQ_I,8,NAND_ADQ_O,8,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ9,NAND_ADQ_I,9,NAND_ADQ_O,9,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ10,NAND_ADQ_I,10,NAND_ADQ_O,10,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ11,NAND_ADQ_I,11,NAND_ADQ_O,11,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ12,NAND_ADQ_I,12,NAND_ADQ_O,12,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ13,NAND_ADQ_I,13,NAND_ADQ_O,13,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ14,NAND_ADQ_I,14,NAND_ADQ_O,14,NAND_ADQ_OE,0,16-bit,.
NAND,ADQ15,NAND_ADQ_I,15,NAND_ADQ_O,15,NAND_ADQ_OE,0,16-bit,.
NAND,WP_N,,,NAND_WP_N,,,,8-bit 16-bit,.
NAND,WE_N,,,NAND_WE_N,,,,8-bit 16-bit,.
SDMMC,CMD,SDMMC_CMD_I,,SDMMC_CMD_O,,SDMMC_CMD_OE,,1-bit 4-bit 8-bit,.
SDMMC,D0,SDMMC_DATA_I,0,SDMMC_DATA_O,0,SDMMC_DATA_OE,0, 1-bit 4-bit 8-bit,.
SDMMC,D1,SDMMC_DATA_I,1,SDMMC_DATA_O,1,SDMMC_DATA_OE,1, 4-bit 8-bit,.
SDMMC,D2,SDMMC_DATA_I,2,SDMMC_DATA_O,2,SDMMC_DATA_OE,2, 4-bit 8-bit,.
SDMMC,D3,SDMMC_DATA_I,3,SDMMC_DATA_O,3,SDMMC_DATA_OE,3, 4-bit 8-bit,.
SDMMC,D4,SDMMC_DATA_I,4,SDMMC_DATA_O,4,SDMMC_DATA_OE,4, 8-bit,.
SDMMC,D5,SDMMC_DATA_I,5,SDMMC_DATA_O,5,SDMMC_DATA_OE,5, 8-bit,.
SDMMC,D6,SDMMC_DATA_I,6,SDMMC_DATA_O,6,SDMMC_DATA_OE,6, 8-bit,.
SDMMC,D7,SDMMC_DATA_I,7,SDMMC_DATA_O,7,SDMMC_DATA_OE,7, 8-bit,.
SDMMC,CCLK,,,SDMMC_CCLK,,,,1-bit 4-bit 8-bit,.
SPIM,CLK,,,SPI_MASTER_SCLK,,,,Dual_slave_selects Single_slave_selects,.
SPIM,MOSI,,,SPI_MASTER_TXD,,SPI_MASTER_SSI_OE_N,,Dual_slave_selects Single_slave_selects,.
SPIM,MISO,SPI_MASTER_RXD,,,,,,Dual_slave_selects Single_slave_selects,.
SPIM,SS0_N,,,SPI_MASTER_SS_0_N,,,,Dual_slave_selects Single_slave_selects,
SPIM,SS1_N,,,SPI_MASTER_SS_1_N,,,,Dual_slave_selects,.
SPIS,CLK,SPI_SLAVE_SCLK,,,,,,default,.
SPIS,MOSI,SPI_SLAVE_RXD,,,,,,default,.
SPIS,MISO,,,SPI_SLAVE_TXD,,SPI_SLAVE_SSI_OE_N,,default,.
SPIS,SS0_N,SPI_SLAVE_SS_N,,,,,,default,.
TRACE,CLK,,,TPIU_TRACE_CLK,0,,,default,.
TRACE,D0,,,TPIU_TRACE_DATA,0,,,default,.
TRACE,D1,,,TPIU_TRACE_DATA,1,,,default,.
TRACE,D2,,,TPIU_TRACE_DATA,2,,,default,.
TRACE,D3,,,TPIU_TRACE_DATA,3,,,default,.
UART,RX,UART_RXD,,,,,,Flow_control No_flow_control,.
UART,TX,,,UART_TXD,,,,Flow_control No_flow_control,.
UART,CTS_N,UART_CTS_N,,,,,,Flow_control,.
UART,RTS_N,,,UART_RTS_N,,,,Flow_control,.
USB,DATA0,USB_ULPI_DATA_I,0,USB_ULPI_DATA_O,0,USB_ULPI_DATA_OE,0,default,.
USB,DATA1,USB_ULPI_DATA_I,1,USB_ULPI_DATA_O,1,USB_ULPI_DATA_OE,1,default,.
USB,DATA2,USB_ULPI_DATA_I,2,USB_ULPI_DATA_O,2,USB_ULPI_DATA_OE,2,default,.
USB,DATA3,USB_ULPI_DATA_I,3,USB_ULPI_DATA_O,3,USB_ULPI_DATA_OE,3,default,.
USB,DATA4,USB_ULPI_DATA_I,4,USB_ULPI_DATA_O,4,USB_ULPI_DATA_OE,4,default,.
USB,DATA5,USB_ULPI_DATA_I,5,USB_ULPI_DATA_O,5,USB_ULPI_DATA_OE,5,default,.
USB,DATA6,USB_ULPI_DATA_I,6,USB_ULPI_DATA_O,6,USB_ULPI_DATA_OE,6,default,.
USB,DATA7,USB_ULPI_DATA_I,7,USB_ULPI_DATA_O,7,USB_ULPI_DATA_OE,7,default,.
USB,CLK,USB_ULPI_CLK,,,,,,default,.
USB,STP,,,USB_ULPI_STP,,,,default,.
USB,DIR,USB_ULPI_DIR,,,,,,default,.
USB,NXT,USB_ULPI_NXT,,,,,,default,.
