#PORT,TYPE,WIDTH,CONTEXT,DEFAULT_VALUE
ax,INPUT,ax_width,,0
ay,INPUT,ay_scan_in_width,,0
az,INPUT,az_width,,0
bx,INPUT,bx_width,,0
by,INPUT,by_width,,0
bz,INPUT,bz_width,,0
scanin,INPUT,ay_scan_in_width,,0
resulta,OUTPUT,result_a_width,,0
resultb,OUTPUT,result_b_width,,0
scanout,OUTPUT,scan_out_width,,0
dftout,OUTPUT,,HIDDEN,0
observablesubregout,OUTPUT,,OBSERVABLE,0
observablenegateregout,OUTPUT,,OBSERVABLE,0
observableaccumulateregout,OUTPUT,,OBSERVABLE,0
observableloadconstregout,OUTPUT,,OBSERVABLE,0
observablesystolicxregout,OUTPUT,,OBSERVABLE,0
observablesystolicyregout,OUTPUT,,OBSERVABLE,0
observablesystolicregout,OUTPUT,,OBSERVABLE,0
observableaxregout,OUTPUT,27,OBSERVABLE,0
observableayregout,OUTPUT,27,OBSERVABLE,0
observableazregout,OUTPUT,26,OBSERVABLE,0
observablebxregout,OUTPUT,18,OBSERVABLE,0
observablebyregout,OUTPUT,19,OBSERVABLE,0
observablebzregout,OUTPUT,18,OBSERVABLE,0
observablecoefselaregout,OUTPUT,3,OBSERVABLE,0
observablecoefselbregout,OUTPUT,3,OBSERVABLE,0
